疾病编码,总费用,总住院天数,总住院次数,总人数,平均费用,平均住院次数
R59.010,3846684.82,1839,372,248,10340.55059,1.5
R68.800x003,97798.54,114,12,8,8149.878333,1.5
R69.x00,2434.9,4,3,2,811.6333333,1.5
R74.800x009,18111.1,14,3,2,6037.033333,1.5
R93.000x001,290102.94,92,21,14,13814.42571,1.5
R94.303,251460.75,132,33,22,7620.022727,1.5
R94.401,11040.23,13,3,2,3680.076667,1.5
S01.800x082,21479.3,13,3,2,7159.766667,1.5
"S01.802,",4016.01,24,3,2,1338.67,1.5
"S01.900,",7803.99,19,3,2,2601.33,1.5
S02.810,12557.84,13,3,2,4185.946667,1.5
S05.200x004,73127.22,76,9,6,8125.246667,1.5
S05.602,16980,23,3,2,5660,1.5
S06.200x002,30938.77,54,3,2,10312.92333,1.5
S06.610,62500.69,88,6,4,10416.78167,1.5
"S08.000,",31114.41,56,9,6,3457.156667,1.5
S11.100x001,86617.08,61,9,6,9624.12,1.5
S11.800x011,29261.85,36,3,2,9753.95,1.5
S12.812,69228.4,37,3,2,23076.13333,1.5
"S22.400,",6825.1,33,3,2,2275.033333,1.5
S24.100x751,69664.31,65,3,2,23221.43667,1.5
S25.301,45976.39,33,3,2,15325.46333,1.5
S26.910,46810.01,15,3,2,15603.33667,1.5
S30.100x007,65567.53,80,6,4,10927.92167,1.5
S31.000x003,119066.73,52,3,2,39688.91,1.5
S33.400,60163.02,69,6,4,10027.17,1.5
S35.001,193856.07,28,3,2,64618.69,1.5
S35.200x006,593464.67,103,9,6,65940.51889,1.5
S36.813,109398.96,40,3,2,36466.32,1.5
S37.310,14838.29,18,3,2,4946.096667,1.5
S39.900x002,21371.18,26,3,2,7123.726667,1.5
S41.800x022,47559.83,49,3,2,15853.27667,1.5
S45.200x002,68658.95,37,3,2,22886.31667,1.5
S49.800,22834.39,33,3,2,7611.463333,1.5
S56.100x001,73076.46,45,9,6,8119.606667,1.5
"S80.000,",13993.11,38,3,2,4664.37,1.5
S93.400x021,7150.56,21,3,2,2383.52,1.5
T05.500x001,104159.06,138,3,2,34719.68667,1.5
T15.800,11199.93,19,6,4,1866.655,1.5
T20.000x022,7535.34,8,3,2,2511.78,1.5
T20.300x012,48693.1,48,3,2,16231.03333,1.5
T20.600x005,55280.61,107,9,6,6142.29,1.5
T20.700x003,31949.81,119,3,2,10649.93667,1.5
T22.100x003,7604.11,39,3,2,2534.703333,1.5
T25.400x003,18686.25,35,3,2,6228.75,1.5
T26.600,19609.2,62,12,8,1634.1,1.5
T27.000x003,290381.73,99,3,2,96793.91,1.5
T28.000x003,14616.19,20,3,2,4872.063333,1.5
T28.701,43046.06,71,15,10,2869.737333,1.5
T44.000,33924.56,36,6,4,5654.093333,1.5
T45.003,7336.91,5,3,2,2445.636667,1.5
T45.101,34781.15,26,6,4,5796.858333,1.5
T45.500,74880.81,122,21,14,3565.752857,1.5
T46.200x001,7279.49,5,3,2,2426.496667,1.5
T48.100x001,3255.22,6,3,2,1085.073333,1.5
T48.701,31325.58,28,12,8,2610.465,1.5
T49.900,8487.67,13,3,2,2829.223333,1.5
T59.601,816516.96,357,18,12,45362.05333,1.5
T63.500,5087.94,9,3,2,1695.98,1.5
T70.400,44288.09,40,3,2,14762.69667,1.5
T75.000,90731.71,77,3,2,30243.90333,1.5
T80.200,48289.59,62,3,2,16096.53,1.5
T80.601,24370.18,20,3,2,8123.393333,1.5
T81.000x018,69952.41,85,9,6,7772.49,1.5
T81.032,74891.58,43,3,2,24963.86,1.5
T81.033,6115.71,7,3,2,2038.57,1.5
T81.502,35183.31,37,6,4,5863.885,1.5
T81.700x004,78847.06,35,3,2,26282.35333,1.5
T81.801,116799.51,71,3,2,38933.17,1.5
T82.100,41437.68,31,6,4,6906.28,1.5
T82.100x010,25308.56,48,6,4,4218.093333,1.5
T82.800x104,63020.51,70,12,8,5251.709167,1.5
T82.903,538251.79,150,15,10,35883.45267,1.5
T83.003,231684.02,513,57,38,4064.63193,1.5
T83.804,188703.01,129,3,2,62901.00333,1.5
T84.005,104539.17,68,6,4,17423.195,1.5
T84.402,36761.68,19,3,2,12253.89333,1.5
"T84.802,",16987.31,39,3,2,5662.436667,1.5
T85.600x004,8356.97,8,3,2,2785.656667,1.5
T85.611,58099.09,33,3,2,19366.36333,1.5
T85.700x202,40971.93,56,6,4,6828.655,1.5
T85.700x809,130516.74,100,21,14,6215.082857,1.5
T85.705,13327.09,24,3,2,4442.363333,1.5
T85.800x801,25636.83,39,3,2,8545.61,1.5
T85.800x807,36072.9,9,6,4,6012.15,1.5
T86.400,20583.59,18,3,2,6861.196667,1.5
T90.200,13922.16,63,3,2,4640.72,1.5
T93.400x004,430177.36,990,33,22,13035.67758,1.5
T93.801,4536.83,21,3,2,1512.276667,1.5
Z29.200x001,17301.05,21,3,2,5767.016667,1.5
Z41.100x019,29959.77,8,3,2,9986.59,1.5
Z42.301,34862.31,33,6,4,5810.385,1.5
Z44.200x002,32544.46,6,6,4,5424.076667,1.5
Z45.803,26162.66,27,6,4,4360.443333,1.5
Z47.800x009,78964.9,83,6,4,13160.81667,1.5
Z47.800x020,38490.92,51,6,4,6415.153333,1.5
Z47.800x028,12299.23,15,3,2,4099.743333,1.5
Z51.500x,15749.89,31,3,2,5249.963333,1.5
Z51.800x096,242672.72,320,39,26,6222.377436,1.5
Z53.800x003,15888.07,24,3,2,5296.023333,1.5
Z85.201,5395.23,20,3,2,1798.41,1.5
Z86.500,29490.04,196,3,2,9830.013333,1.5
Z94.002,299110.72,299,24,16,12462.94667,1.5
Z96.100x001,21979.28,28,6,4,3663.213333,1.5
Z98.200x001,11908.82,12,3,2,3969.606667,1.5
I71.400,195335423,16295,1579,1053,123708.311,1.499525166
F33.200x001,14327947.53,19540,1145,764,12513.49129,1.498691099
C38.100,12762179.92,3687,322,215,39634.09913,1.497674419
K74.607,175253859.7,188410,19740,13185,8878.108394,1.497155859
K85.818,177844810.3,59768,3765,2515,47236.3374,1.497017893
G24.902,58875036.12,120938,3688,2464,15963.94689,1.496753247
Z09.801,12976545.19,6889,1814,1212,7153.553026,1.49669967
G92.x02,6862699.12,10196,428,286,16034.34374,1.496503497
I71.201,63437817.75,8155,591,395,107339.7931,1.496202532
C18.200,181504288.8,82374,5630,3764,32238.77244,1.495749203
K51.900x002,709471.33,989,172,115,4124.833314,1.495652174
Z44.201,1712241.26,798,169,113,10131.60509,1.495575221
C61.x00,320825796.7,180372,16213,10841,19788.18212,1.495526243
C79.500x001,20112715.28,15440,1989,1330,10111.97349,1.495488722
I71.200,17707359.06,1703,154,103,114982.851,1.495145631
J62.800,653309.77,1880,154,103,4242.271234,1.495145631
Z52.001,4891874.13,2311,447,299,10943.79,1.494983278
D32.018,7435413.93,1961,142,95,52362.06993,1.494736842
H50.000x010,783037.05,169,136,91,5757.625368,1.494505495
K55.000x010,2605186.97,964,130,87,20039.89977,1.494252874
C10.900,7083354.99,4094,357,239,19841.3305,1.493723849
M45.x00,50346744.13,37997,5272,3530,9549.837657,1.493484419
G12.200,9185784.83,10103,739,495,12430.02007,1.492929293
I69.301,373653.91,1241,97,65,3852.102165,1.492307692
C33.x00,2687055.41,1173,94,63,28585.69585,1.492063492
O26.800,441145.71,572,94,63,4693.039468,1.492063492
T91.300,2366584.53,5599,182,122,13003.2117,1.491803279
D46.700,4875948.61,1832,158,106,30860.43424,1.490566038
C32.900,30122514.65,22756,1660,1114,18146.09316,1.490125673
G40.200x006,3076168.11,3568,657,441,4682.143242,1.489795918
A16.020,2285455.98,2134,213,143,10729.84028,1.48951049
C79.301,1282569.88,863,67,45,19142.83403,1.488888889
M16.600,1927821.9,550,67,45,28773.46119,1.488888889
G20.x01,8196371.11,8365,719,483,11399.68166,1.488612836
Z51.500,57041372.56,113836,11515,7739,4953.65806,1.487918336
I20.806,25090602.45,10494,1584,1065,15840.0268,1.487323944
F31.200x001,16365151.51,38070,1020,686,16044.26619,1.486880466
E26.900x001,518417.63,380,55,37,9425.775091,1.486486486
G93.807,7761323.95,1597,153,103,50727.60752,1.485436893
F33.100x011,2246683.25,5192,251,169,8950.929283,1.485207101
C18.300,79245451.28,31649,2144,1444,36961.4978,1.484764543
B24.x01,23325060.43,33786,3033,2043,7690.425463,1.484581498
N04.100,1260587.25,1074,144,97,8754.078125,1.484536082
Q54.001,1431331.07,925,95,64,15066.64284,1.484375
C90.000x011,1017816.65,384,46,31,22126.44891,1.483870968
D69.302,601044.66,447,46,31,13066.18826,1.483870968
F33.100x002,15554044.67,30848,1718,1158,9053.576641,1.483592401
G09.x00x001,1545476.27,2885,135,91,11447.97237,1.483516484
D22.511,388609.35,164,43,29,9037.426744,1.482758621
F06.800,5200510.31,20963,556,375,9353.435809,1.482666667
E24.900,1590331.91,1395,126,85,12621.68183,1.482352941
I08.200x002,9775821.25,949,83,56,117780.9789,1.482142857
G35.x00,5519746.5,6263,578,390,9549.734429,1.482051282
C25.803,3940281.54,1560,120,81,32835.6795,1.481481481
C49.000x002,856097.54,415,40,27,21402.4385,1.481481481
C49.502,717643.67,338,40,27,17941.09175,1.481481481
D47.100x008,2737368.32,1561,120,81,22811.40267,1.481481481
G93.000x006,2352204.27,648,40,27,58805.10675,1.481481481
I77.400,687219.78,340,40,27,17180.4945,1.481481481
K74.602,145082198.4,121331,12238,8265,11855.05789,1.480701754
D32.022,2315027.82,671,37,25,62568.31946,1.48
D33.305,2926004.83,696,74,50,39540.60581,1.48
E83.501,479304.48,411,37,25,12954.17514,1.48
F22.003,940408.09,2089,74,50,12708.21743,1.48
N01.900x001,893309.65,501,37,25,24143.50405,1.48
O44.103,12191921.23,8070,1110,750,10983.71282,1.48
C34.900x004,138611268.4,113308,10113,6841,13706.24626,1.478292647
A18.028+M01.1*,468169.33,426,34,23,13769.68618,1.47826087
D32.000x028,4660444.91,1035,102,69,45690.63637,1.47826087
D43.002,2678666.4,676,34,23,78784.30588,1.47826087
D48.500x007,197350.76,127,34,23,5804.434118,1.47826087
J34.800x012,347333.16,178,34,23,10215.68118,1.47826087
Q33.200,6928046.96,1862,238,161,29109.44101,1.47826087
T91.300x002,2452291.31,4135,102,69,24042.07167,1.47826087
G80.800,1956795.06,8707,167,113,11717.33569,1.477876106
O08.800x006,2643170.09,665,430,291,6146.907186,1.47766323
Z42.100x001,1478243.9,548,65,44,22742.21385,1.477272727
C18.400,70842182.82,31916,2130,1442,33259.24076,1.477115118
G82.200x061,1126767.24,2477,96,65,11737.15875,1.476923077
T82.800x001,2882043.27,1093,220,149,13100.19668,1.476510067
K55.201,371599.01,280,31,21,11987.06484,1.476190476
Q76.400x301,1846031.71,568,31,21,59549.41,1.476190476
J44.100,3001041545,5818633,685566,464613,4377.465546,1.475563534
R77.802,1191730.55,686,90,61,13241.45056,1.475409836
J86.005,1760657.36,1062,59,40,29841.65017,1.475
N32.104,1117738.29,883,59,40,18944.71678,1.475
I42.000x011,145706484.7,70062,8299,5629,17557.11347,1.474329366
I81.x00,5400864.58,2202,258,175,20933.58364,1.474285714
C34.900x006,5769928.4,5086,479,325,12045.77954,1.473846154
C94.700x004,535183.78,467,28,19,19113.70643,1.473684211
F78.800x001,312038.34,1664,28,19,11144.22643,1.473684211
H93.200,126761.22,194,28,19,4527.186429,1.473684211
I74.502,1346258.55,270,28,19,48080.6625,1.473684211
K31.806,452464.17,381,28,19,16159.43464,1.473684211
Q17.901,3326172.65,1366,168,114,19798.64673,1.473684211
Q27.800x008,524892.19,178,56,38,9373.074821,1.473684211
Q82.800x002,206104.58,291,28,19,7360.877857,1.473684211
Z01.800,112536.91,167,56,38,2009.587679,1.473684211
M16.701,13260142.97,3661,470,319,28213.07015,1.473354232
G81.900x005,104598590.4,215313,8055,5469,12985.54815,1.472846956
I69.400,14158411.43,39459,2101,1427,6738.891685,1.472319552
K91.812,346330.43,365,53,36,6534.536415,1.472222222
T86.400x017,825867.81,555,53,36,15582.41151,1.472222222
K72.100,49885192.61,44513,3421,2324,14582.04987,1.472030981
C31.000,2987663.01,2174,184,125,16237.29897,1.472
I72.000x023,7255374.43,1478,184,125,39431.38277,1.472
F01.800,1933803.66,6562,131,89,14761.86,1.471910112
D18.000x847,570438.08,313,125,85,4563.50464,1.470588235
D35.200x011,1040442.84,298,25,17,41617.7136,1.470588235
E22.000x005,1070315.61,607,50,34,21406.3122,1.470588235
G40.300x013,96848.82,208,25,17,3873.9528,1.470588235
G96.800,296599.59,269,50,34,5931.9918,1.470588235
I71.203,3753169.67,644,50,34,75063.3934,1.470588235
I73.804,287292.62,293,25,17,11491.7048,1.470588235
K28.500x011,959455.09,263,25,17,38378.2036,1.470588235
L53.100,163372.91,358,50,34,3267.4582,1.470588235
Q85.906,324303.3,123,25,17,12972.132,1.470588235
R26.800x001,1234383.61,3503,125,85,9875.06888,1.470588235
T82.102,761565.57,180,25,17,30462.6228,1.470588235
C34.900x005,199069353,158592,14071,9569,14147.49151,1.470477584
G40.300x007,649895.48,588,122,83,5327.012131,1.469879518
K72.903+G94.3*,4282014.39,4195,457,311,9369.834551,1.469453376
E11.301+H36.0*,31611102.01,32758,6004,4087,5265.006997,1.469048202
D32.006,23980992.17,5756,589,401,40714.7575,1.46882793
H52.101,241187.01,79,47,32,5131.638511,1.46875
L30.804,436311.91,583,47,32,9283.232128,1.46875
M86.905,733787.04,675,47,32,15612.49021,1.46875
G81.000,32232548.88,51002,1918,1306,16805.29139,1.468606432
A16.503,2682221.87,3615,304,207,8823.098257,1.468599034
D32.004,55419692.52,13461,1119,762,49526.08804,1.468503937
I71.600,7662145.31,700,69,47,111045.5842,1.468085106
C16.500,58421005.52,17604,1280,872,45641.41056,1.467889908
H50.900,522003.38,306,91,62,5736.300879,1.467741935
O01.901,971402.9,1223,201,137,4832.850249,1.467153285
C79.508,2547516.88,700,66,45,38598.74061,1.466666667
D29.200,504193.02,363,66,45,7639.288182,1.466666667
I20.800x003,1713842.26,1352,176,120,9737.740114,1.466666667
K91.810,2169674.76,2172,132,90,16436.93,1.466666667
Q87.801,211426.01,276,22,15,9610.273182,1.466666667
C25.900x001,71324653.91,56429,4282,2920,16656.85519,1.466438356
I48.x00x007,285129109.5,32011,4443,3031,64174.90649,1.465852854
Z51.800x097,10779237.06,3379,535,365,20148.10665,1.465753425
I67.000x009,4806623.58,338,63,43,76295.61238,1.465116279
I71.204,12850746.97,1355,126,86,101990.0553,1.465116279
C15.400,76569106.73,28215,1976,1349,38749.54794,1.464788732
G52.705,702122.75,530,41,28,17124.94512,1.464285714
I27.003,4230348.13,3018,287,196,14739.88895,1.464285714
I31.200,1578493.83,382,41,28,38499.84951,1.464285714
I45.803,3390365.87,398,41,28,82691.85049,1.464285714
J38.303,282614.37,237,41,28,6893.033415,1.464285714
Q52.402,424744.84,273,41,28,10359.63024,1.464285714
K80.504,9961150.56,5088,767,524,12987.15849,1.463740458
D68.902,1439712.83,2155,240,164,5998.803458,1.463414634
S37.301,1415622.84,1763,120,82,11796.857,1.463414634
Q43.100x901,2922110.54,1624,98,67,29817.45449,1.462686567
N03.000,1698729.34,1480,215,147,7901.066698,1.462585034
F33.300x001,6849836.36,10304,544,372,12591.61096,1.462365591
I71.000x003,18265838.06,4757,516,353,35398.91097,1.461756374
A41.803,3617834.02,1194,38,26,95206.15842,1.461538462
C12.x00,377155.27,327,19,13,19850.27737,1.461538462
D02.201,169596.83,370,38,26,4463.074474,1.461538462
D04.500,274399.98,199,38,26,7221.052105,1.461538462
D17.700x003,231522.24,154,19,13,12185.38105,1.461538462
D69.405,81109.77,128,19,13,4268.935263,1.461538462
D76.000,355238.58,310,19,13,18696.76737,1.461538462
E11.300x046,159272.63,182,38,26,4191.385,1.461538462
E20.100,97250.78,141,19,13,5118.462105,1.461538462
E23.302,215300.49,199,19,13,11331.60474,1.461538462
F29.x00x001,1104176.16,2071,114,78,9685.755789,1.461538462
H50.104,1198730.79,278,190,130,6309.109421,1.461538462
H50.105,98380.81,36,19,13,5177.937368,1.461538462
J39.801,485316.25,228,19,13,25542.96053,1.461538462
J84.800x004,258344.05,238,19,13,13597.05526,1.461538462
K60.401,569004.62,629,38,26,14973.80579,1.461538462
M48.100x091,232495.59,132,19,13,12236.61,1.461538462
M85.600x053,645489.1,177,19,13,33973.11053,1.461538462
O44.100x003,6442017.78,4121,570,390,11301.78558,1.461538462
Q55.203,66145.62,52,19,13,3481.348421,1.461538462
Q74.001,272639.84,194,19,13,14349.46526,1.461538462
R12.x00x002,73165.99,84,19,13,3850.841579,1.461538462
T81.402,67764.27,117,19,13,3566.540526,1.461538462
T85.800x802,1220007.81,224,19,13,64210.93737,1.461538462
Z43.200,6205853.04,3126,377,258,16461.14865,1.46124031
E27.403,805427.45,1027,111,76,7256.103153,1.460526316
R59.009,1161354.77,624,111,76,10462.65559,1.460526316
D05.100x001,22095906.55,8285,984,674,22455.18958,1.459940653
C50.901,650762.65,549,54,37,12051.16019,1.459459459
F99.x00,46644506.17,220660,5528,3790,8437.862911,1.458575198
F45.900x001,2770848.15,3816,334,229,8295.952545,1.458515284
A04.700x001,706402.92,575,35,24,20182.94057,1.458333333
C44.300x011,267148.66,210,35,24,7632.818857,1.458333333
N03.200x001,888542.75,847,121,83,7343.328512,1.457831325
B44.102+J17.2*,146050180.9,80690,5012,3438,29140.09993,1.457824316
C44.102,334174.73,220,51,35,6552.445686,1.457142857
G24.300,1720387.17,1191,153,105,11244.36059,1.457142857
B89.x00,599031.06,832,115,79,5208.965739,1.455696203
D18.103,919159.16,524,115,79,7992.688348,1.455696203
E83.001,2985408.89,5357,345,237,8653.359101,1.455696203
I72.800x143,3809311.95,1489,227,156,16781.10991,1.455128205
Q66.000,4679230,2450,259,178,18066.5251,1.45505618
B25.800x001,506467.38,227,16,11,31654.21125,1.454545455
C79.500x013,842660.11,485,48,33,17555.41896,1.454545455
C84.000x002,274270.05,274,16,11,17141.87813,1.454545455
C93.100x211,178221.71,229,16,11,11138.85688,1.454545455
D18.100x015,418761.5,170,16,11,26172.59375,1.454545455
D33.105,2959650.71,751,32,22,92489.08469,1.454545455
D47.703,351742.95,203,16,11,21983.93438,1.454545455
E10.200x215+N08.3*,667890.07,328,32,22,20871.56469,1.454545455
E71.301,300024.45,371,16,11,18751.52813,1.454545455
F19.800,136797.09,957,16,11,8549.818125,1.454545455
G40.100x008,504266.47,124,16,11,31516.65438,1.454545455
G60.900x001,156397.67,123,16,11,9774.854375,1.454545455
I67.600x003,153719.14,79,16,11,9607.44625,1.454545455
I72.300x021,10888422.66,1210,112,77,97218.05946,1.454545455
K59.300x001,296636.75,233,16,11,18539.79688,1.454545455
K75.810,689743.92,271,16,11,43108.995,1.454545455
K76.500x001,219443.33,97,16,11,13715.20813,1.454545455
L25.500,43973.03,111,16,11,2748.314375,1.454545455
N60.300,622958.32,280,96,66,6489.149167,1.454545455
Q17.300x003,317883.35,84,16,11,19867.70938,1.454545455
Q24.503,501154.75,121,16,11,31322.17188,1.454545455
Q43.401,394751.72,216,16,11,24671.9825,1.454545455
Q78.000,46127.63,92,16,11,2882.976875,1.454545455
T26.600x001,338517.71,194,48,33,7052.452292,1.454545455
T85.700x103,98586.58,129,16,11,6161.66125,1.454545455
C71.600,6960733.01,2464,173,119,40235.45092,1.453781513
C84.506,4768126.29,2253,141,97,33816.49851,1.453608247
C90.000x002,3593112.43,1816,109,75,32964.33422,1.453333333
N18.800x015,1173745.92,1539,109,75,10768.31119,1.453333333
I60.801,23641159.18,4971,311,214,76016.589,1.453271028
D18.000x028,14156855.14,3354,542,373,26119.65893,1.45308311
D33.308,44500422.92,12307,905,623,49171.73803,1.452648475
A16.400x007,479213.61,568,61,42,7855.96082,1.452380952
C76.400,644468.39,766,61,42,10565.05557,1.452380952
L10.400,507490,837,61,42,8319.508197,1.452380952
I67.601,5688894.57,3265,254,175,22397.22272,1.451428571
I72.301,25587691.75,2252,254,175,100738.9439,1.451428571
Z45.005,4927820.96,876,119,82,41410.26017,1.451219512
N50.000,550408.86,362,74,51,7437.957568,1.450980392
Q17.003,257640.71,202,74,51,3481.631216,1.450980392
I42.000,76544387.31,68806,8212,5663,9321.040832,1.45011478
C13.901,557144.46,439,29,20,19211.87793,1.45
C84.405,1203932.54,582,29,20,41514.91517,1.45
C96.900,456136.67,300,29,20,15728.85069,1.45
G23.803,346058.62,238,29,20,11933.05586,1.45
L93.000,271054.19,435,58,40,4673.348103,1.45
M15.400,176196.59,189,29,20,6075.744483,1.45
I69.100x001,72827751.24,137615,5760,3974,12643.70681,1.449421238
C79.827,1375682.69,717,71,49,19375.81254,1.448979592
J85.300,9185771.29,2836,155,107,59263.04058,1.448598131
C79.800x836,808123.92,396,42,29,19241.04571,1.448275862
G60.003,1019541.12,1474,84,58,12137.39429,1.448275862
K86.815,1272757.68,668,42,29,30303.75429,1.448275862
Z40.800,580380.56,303,42,29,13818.58476,1.448275862
K75.000,69291467.2,60577,4644,3207,14920.64324,1.44808232
J18.200,39635803.99,74457,4539,3135,8732.276711,1.44784689
I67.100x019,24866928.2,2253,291,201,85453.36151,1.447761194
D32.008,2974729.94,895,55,38,54085.99891,1.447368421
G52.703,747231.16,668,55,38,13586.02109,1.447368421
Z45.200,778592.37,453,191,132,4076.399843,1.446969697
F42.901,798837.34,1841,68,47,11747.60794,1.446808511
F22.000,6644897.99,24620,538,372,12351.11151,1.446236559
E30.800x001,358389.27,242,188,130,1906.325904,1.446153846
I25.101,70511209.12,40553,7397,5115,9532.406262,1.446138807
K72.000x005,27910196.27,10596,574,397,48624.03531,1.445843829
Z51.500x001,42324585.52,67009,6337,4384,6678.962525,1.445483577
I65.300x003,16290855.6,3231,331,229,49217.0864,1.445414847
A16.900x001,174061.62,148,13,9,13389.35538,1.444444444
C05.200,187179.22,138,13,9,14398.40154,1.444444444
C49.103,207765.5,129,13,9,15981.96154,1.444444444
C49.600x001,741415.5,402,39,27,19010.65385,1.444444444
C64.x00x003,310930.94,86,13,9,23917.76462,1.444444444
C81.900,428404.95,338,39,27,10984.74231,1.444444444
C85.100x015,296737.49,143,13,9,22825.96077,1.444444444
C91.400x003,572435.29,531,26,18,22016.74192,1.444444444
C95.000x006,636741.37,403,13,9,48980.10538,1.444444444
D14.200,381766.8,236,26,18,14683.33846,1.444444444
D33.310,225087.79,142,13,9,17314.44538,1.444444444
E85.400x022,159454.94,61,13,9,12265.76462,1.444444444
F80.000,195562.43,1273,13,9,15043.26385,1.444444444
G62.001,212772.59,308,39,27,5455.707436,1.444444444
H35.800x006,284248.21,71,26,18,10932.62346,1.444444444
I47.100x014,122977.95,52,13,9,9459.842308,1.444444444
I72.201,816245.11,270,26,18,31394.04269,1.444444444
I72.800x142,649390.52,120,13,9,49953.11692,1.444444444
J86.011,233654.83,207,13,9,17973.44846,1.444444444
J98.503,148113.01,132,13,9,11393.30846,1.444444444
K43.100x003,302980.54,93,13,9,23306.19538,1.444444444
K72.900x003+,236944.73,191,13,9,18226.51769,1.444444444
M62.809,118154.93,80,13,9,9088.840769,1.444444444
N28.900x011,133126.34,116,13,9,10240.48769,1.444444444
N62.x00x007,61510.57,41,13,9,4731.582308,1.444444444
O99.310,106364.06,86,13,9,8181.850769,1.444444444
Q23.000,856735.6,123,13,9,65902.73846,1.444444444
Q24.200,1383425.61,284,26,18,53208.67731,1.444444444
Q82.505,41823.27,23,13,9,3217.174615,1.444444444
S05.900,88453.99,457,39,27,2268.051026,1.444444444
S94.900,188113.85,259,26,18,7235.148077,1.444444444
"T11.101,",31912.43,116,13,9,2454.802308,1.444444444
T84.203,94225.64,73,13,9,7248.126154,1.444444444
T85.301,266704.18,267,52,36,5128.926538,1.444444444
T09.300,21925749.65,24771,755,523,29040.72801,1.443594646
O61.000,1738380.16,1131,166,115,10472.16964,1.443478261
C24.002,35036151,25027,2022,1401,17327.47329,1.443254818
O14.101,2562709.04,843,101,70,25373.35683,1.442857143
C49.200x001,6818425.52,3744,326,226,20915.41571,1.442477876
I72.200,2379309.77,598,75,52,31724.13027,1.442307692
C76.300,15260018.11,8607,724,502,21077.37308,1.442231076
I40.000x005,24432618.68,2737,261,181,93611.56582,1.44198895
K70.300x006+I98.2*,9842253.91,6163,633,439,15548.58438,1.44191344
G24.201,1918804.89,517,62,43,30948.46597,1.441860465
I08.004,4138741.99,873,62,43,66753.90306,1.441860465
K22.000x002,10397888.1,6845,829,575,12542.6877,1.44173913
K85.800x003,3569406.01,1747,111,77,32156.8109,1.441558442
D75.100x006,448210.19,377,49,34,9147.146735,1.441176471
K28.401,1396890,499,49,34,28507.95918,1.441176471
C71.100,49190300.23,15070,869,603,56605.63893,1.441127695
C85.100x001,8467015.8,4142,330,229,25657.62364,1.441048035
K70.300x011,7902684.65,1869,170,118,46486.38029,1.440677966
I25.207,2222120.87,801,121,84,18364.63529,1.44047619
E23.701,1584541.32,1438,157,109,10092.61987,1.440366972
M35.101,3551514.28,4333,471,327,7540.370021,1.440366972
A15.208,1992392.36,2043,180,125,11068.84644,1.44
E22.001,243710.97,244,36,25,6769.749167,1.44
G24.807,1334114.52,369,36,25,37058.73667,1.44
"J44.801,I25.901",105913.85,435,72,50,1471.025694,1.44
R25.800,103715.22,135,36,25,2880.978333,1.44
C15.000,4202653.28,3300,292,203,14392.64822,1.438423645
C16.803,22157034.82,7268,502,349,44137.51956,1.438395415
I84.103,1649827.52,1968,233,162,7080.804807,1.438271605
I87.100x009,2708368.79,618,128,89,21159.13117,1.438202247
C04.900,9965598.32,4073,348,242,28636.77678,1.438016529
Q55.604,1985852.03,1145,174,121,11412.9427,1.438016529
A18.103+N29.1*,7138186.24,4608,463,322,15417.2489,1.437888199
K76.808,11394859.34,3080,335,233,34014.50549,1.43776824
C49.000x003,383041.58,196,23,16,16653.98174,1.4375
C71.500,1185405.53,260,23,16,51539.37087,1.4375
C88.000x001,1421062.45,978,69,48,20595.10797,1.4375
C90.000x003+N16.1*,1260064.6,999,69,48,18261.8058,1.4375
G82.500x041,672088.47,984,23,16,29221.23783,1.4375
I67.100x027,2212864.64,171,23,16,96211.50609,1.4375
M12.200x051,526289.84,146,23,16,22882.16696,1.4375
M35.006+N16.4*,135837.38,186,23,16,5905.973043,1.4375
M85.003,614904.43,186,23,16,26734.97522,1.4375
N82.102,2389240.28,1369,115,80,20776.00243,1.4375
Q35.300x001,385751.19,329,46,32,8385.895435,1.4375
Q61.201,236730.89,202,23,16,10292.64739,1.4375
T81.809,58510.05,129,23,16,2543.915217,1.4375
Z93.601,111444.06,136,23,16,4845.393913,1.4375
C12.x00x002,6298020.28,3160,227,158,27744.58273,1.436708861
H35.501,1368438.67,1463,102,71,13416.06539,1.436619718
C25.900,26135659.02,18760,1524,1061,17149.38256,1.436380773
I60.601,12328412.19,2259,135,94,91321.57178,1.436170213
C34.900,53020239.68,79188,7892,5496,6718.226011,1.435953421
M24.606,1901539.23,1047,56,39,33956.05768,1.435897436
Q28.305,1947224,596,56,39,34771.85714,1.435897436
C65.x00,22002875.52,10639,781,544,28172.69593,1.435661765
I27.000,898220.79,1174,145,101,6194.626138,1.435643564
C50.400x001,98460747.72,51014,4866,3390,20234.43233,1.43539823
K70.301+I98.2*,8176149.88,6150,633,441,12916.5085,1.43537415
J44.000,3522892682,4961931,534395,372351,6592.30098,1.435191526
C13.200,950648.81,510,33,23,28807.5397,1.434782609
C48.104,720566.87,410,33,23,21835.3597,1.434782609
C49.400,743352.19,557,33,23,22525.82394,1.434782609
D18.000x014,223268.01,159,33,23,6765.697273,1.434782609
E14.400x370+G99.0*,194237.14,302,33,23,5885.973939,1.434782609
I82.202,1158479.51,349,33,23,35105.4397,1.434782609
I84.400x002,181416.03,222,33,23,5497.455455,1.434782609
Q27.800x042,6938365.06,3265,720,502,9636.618139,1.434262948
K56.601,3199362.2,1557,109,76,29351.94679,1.434210526
